0.02:  193.7557,174.0436,94.20018,
ParticipantNo: 214
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_21
4.27:  112.6,113,262.4,box 5,5
4.28:  112.6,113,262.9,box 5,5
4.3:  112.6,113,263.5,box 5,5
4.32:  112.6,113,264.1,box 5,5
4.33:  112.6,113,264.6,box 5,5
4.35:  112.6,113,264.6,box 5,5
4.37:  112.6,113,264.9,box 5,5
4.38:  112.6,113,265.2,box 5,5
4.4:  112.6,113,265.4,box 5,5
4.42:  112.6,113,265.5,box 5,5
4.43:  112.6,113,265.6,box 5,5
4.45:  112.6,113,265.8,box 5,5
4.47:  112.6,113,266,box 5,5
4.48:  112.6,113,266.2,box 5,5
4.5:  112.6,113,266.6,box 5,5
4.52:  112.6,113,267.2,box 5,5
4.53:  112.6,113,267.6,box 5,5
4.55:  112.6,113,267.7,box 5,5
4.57:  112.6,113,267.8,box 5,5
4.58:  112.6,113,267.9,box 5,5
4.6:  112.5843,112.9994,267.9,box 5,5
4.61:  112.5549,112.9983,267.9,box 5,5
4.63:  112.5094,112.9967,267.9,box 5,5
4.65:  112.4484,112.9944,267.9,box 5,5
4.66:  112.3732,112.9917,267.9,box 5,5
4.68:  112.2779,112.9884,268,box 5,5
4.7:  112.1654,112.9844,268,box 5,5
4.72:  112.0416,112.9801,268,box 5,5
4.73:  111.9064,112.9751,267.9,box 5,5
4.75:  111.754,112.9693,267.8,box 5,5
4.77:  111.5874,112.9629,267.8,box 5,5
4.78:  111.4086,112.956,267.8,box 5,5
4.8:  111.2111,112.9484,267.8,box 5,5
4.82:  110.999,112.9403,267.8,box 5,5
4.83:  110.7736,112.9316,267.8,box 5,5
4.85:  110.5293,112.9222,267.8,box 5,5
4.87:  110.2782,112.9126,267.8,box 5,5
4.88:  110.003,112.902,267.8,box 5,5
4.9:  109.7173,112.891,267.8,box 5,5
4.92:  109.4207,112.8797,267.8,box 5,5
4.93:  109.1151,112.8679,267.8,box 5,5
4.95:  108.8194,112.8566,267.8,box 5,5
4.97:  108.5181,112.845,267.8,box 5,5
4.98:  108.217,112.8334,267.8,box 5,5
5:  107.9188,112.822,267.8,box 5,5
5.02:  107.6176,112.8109,267.9,box 5,5
5.03:  107.3188,112.7999,267.9,box 5,5
5.05:  107.021,112.789,267.9,box 5,5
5.07:  106.7182,112.7779,267.9,box 5,5
5.08:  106.4493,112.7681,267.9,box 5,5
5.1:  106.147,112.757,267.9,box 5,5
5.12:  105.8279,112.7453,267.9,box 5,5
5.13:  105.5208,112.734,267.9,box 5,5
5.15:  105.2192,112.723,267.9,box 5,5
5.17:  104.9123,112.7128,268.0999,box 5,6
5.18:  104.6205,112.7046,268.4,box 5,6
5.2:  104.3182,112.6978,268.7,box 5,6
5.22:  104.026,112.6911,268.7,box 5,6
5.23:  103.7224,112.6842,268.7,box 5,6
5.25:  103.4172,112.6773,268.7,box 5,6
5.27:  103.116,112.6705,268.7,box 5,6
5.28:  102.821,112.6638,268.7,box 5,6
5.3:  102.5178,112.6569,268.7,box 5,6
5.32:  102.2246,112.6503,268.7,box 5,6
5.33:  101.9159,112.6432,268.7,box 5,6
5.35:  101.6224,112.6366,268.7,box 5,6
5.37:  101.3167,112.6297,268.7,box 5,6
5.38:  101.023,112.623,268.7,box 5,6
5.4:  100.7205,112.6161,268.7,box 5,6
5.42:  100.4192,112.6093,268.7,box 5,6
5.43:  100.1161,112.6024,268.7,box 5,6
5.45:  99.82163,112.5957,268.7,box 5,6
5.47:  99.52266,112.5889,268.7,box 5,6
5.48:  99.22614,112.5822,268.7,box 5,6
5.5:  98.92638,112.5754,268.7,box 5,6
5.52:  98.62712,112.5686,268.7,box 5,6
5.53:  98.31483,112.5615,268.7,box 5,6
5.55:  98.02172,112.5549,268.7,box 5,6
5.57:  97.71778,112.548,268.7,box 5,6
5.58:  97.42604,112.5414,268.7,box 5,6
5.6:  97.11965,112.5344,268.7,box 5,6
5.62:  96.82218,112.5277,268.7,box 5,6
5.63:  96.51664,112.5207,268.7,box 5,6
5.65:  96.23594,112.5144,268.7,box 5,6
5.67:  95.93393,112.5075,268.7,box 5,6
5.68:  95.62946,112.5006,268.7,box 5,6
5.7:  95.31992,112.4936,268.7,box 5,6
5.72:  95.0267,112.4869,268.7,box 5,6
5.73:  94.72366,112.48,268.7,box 5,6
5.75:  94.42633,112.4733,268.7,box 5,6
5.77:  94.12434,112.4664,268.7,box 5,6
5.78:  93.82639,112.4597,268.7,box 5,6
5.8:  93.52515,112.4528,268.7,box 5,6
5.82:  93.23093,112.4462,268.7,box 5,6
5.83:  92.92203,112.4391,268.7,box 5,6
5.85:  92.62889,112.4325,268.7,box 5,6
5.87:  92.32583,112.4256,268.7,box 5,6
5.88:  92.0291,112.4189,268.7,box 5,6
5.9:  91.72578,112.412,268.7,box 5,6
5.92:  91.42811,112.4052,268.7,box 5,6
5.93:  91.12707,112.3984,268.7,box 5,6
5.95:  90.82484,112.3915,268.7,box 5,6
5.97:  90.51586,112.3845,268.7,box 5,6
5.98:  90.22724,112.378,268.7,box 5,6
6:  89.92634,112.3712,268.7,box 5,6
6.02:  89.62711,112.3644,268.7,box 5,6
6.03:  89.32401,112.3575,268.7,box 5,6
6.05:  89.02341,112.3507,268.7,box 5,6
6.07:  88.72432,112.3439,268.7,box 5,6
6.08:  88.43075,112.3372,268.7,box 5,6
6.1:  88.10027,112.3297,268.7,box 5,6
6.12:  87.82323,112.3249,268.9999,box 5,6
6.13:  87.52691,112.3244,269.9,box 5,6
6.15:  87.27469,112.3279,270.8,box 5,6
6.16:  87.02479,112.3353,271.7,box 5,6
6.18:  86.78442,112.3454,272.4,box 5,6
6.2:  86.56001,112.3587,273.3999,box 5,6
6.21:  86.34909,112.3768,274.8999,box 5,6
6.23:  86.15522,112.3992,276.5999,box 5,6
6.25:  85.97347,112.427,278.7,box 5,6
6.27:  85.80721,112.4615,281.7,box 5,6
6.28:  85.66193,112.5018,285.4999,box 5,6
6.3:  85.53463,112.5473,289.7,box 5,6
6.32:  85.42664,112.5965,294.4999,box 5,6
6.33:  85.33443,112.6511,300.5999,box 5,7
6.35:  85.25763,112.7021,303.5999,box 5,7
6.37:  85.19762,112.7455,305.8999,box 5,7
6.38:  85.15039,112.7822,307.7999,box 5,7
6.4:  85.11627,112.81,309.1999,box 5,7
6.42:  85.09418,112.8291,310.7999,box 5,7
6.43:  85.08354,112.8388,312.2999,box 5,7
6.45:  85.08354,112.8388,313.4999,box 5,7
6.47:  85.08354,112.8388,314.5999,box 5,7
6.48:  85.08354,112.8388,315.6999,box 5,7
6.5:  85.08354,112.8388,316.7999,box 5,7
6.51:  85.08354,112.8388,317.2999,box 5,7
6.53:  85.08354,112.8388,317.3999,box 5,7
6.55:  85.08354,112.8388,317.4999,box 5,7
6.56:  85.08354,112.8388,317.4999,box 5,7
6.58:  85.08354,112.8388,317.4999,box 5,7
6.6:  85.08354,112.8388,317.4999,box 5,7
6.62:  85.08354,112.8388,317.4999,box 5,7
6.63:  85.08354,112.8388,317.4999,box 5,7
6.65:  85.08354,112.8388,317.4999,box 5,7
6.67:  85.08354,112.8388,317.4999,box 5,7
6.68:  85.08354,112.8388,317.4999,box 5,7
6.7:  85.08354,112.8388,317.2999,box 5,7
6.72:  85.08354,112.8388,317.2999,box 5,7
6.73:  85.08354,112.8388,317.0999,box 5,7
6.75:  85.08354,112.8388,316.9999,box 5,7
6.77:  85.08354,112.8388,316.9999,box 5,7
6.78:  85.08354,112.8388,316.9999,box 5,7
6.8:  85.07267,112.8503,316.7999,box 5,7
6.82:  85.05236,112.8718,316.5999,box 5,7
6.83:  85.02074,112.9045,315.9999,box 5,7
6.85:  84.97872,112.9469,315.2,box 5,7
6.87:  84.92466,112.9994,314.1999,box 5,7
6.88:  84.85928,113.0611,313.2999,box 5,7
6.9:  84.78243,113.132,312.6999,box 5,7
6.92:  84.69304,113.2127,312.0999,box 5,7
6.93:  84.58946,113.3034,311.1999,box 5,7
6.95:  84.47658,113.4008,310.7999,box 5,7
6.97:  84.35178,113.5074,310.4999,box 5,7
6.98:  84.21332,113.6236,309.9999,box 5,7
7:  84.06367,113.7461,309.2999,box 5,7
