0.02:  34.42233,31.67462,184.8998,
ParticipantNo: 221
ParticipantGen: 0
Date: 10/30/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_04
3.37:  107.5536,208.4271,254.9,box 5,10
3.38:  107.2669,208.3465,254.3,box 5,10
3.4:  106.9806,208.2623,253.6,box 5,10
3.42:  106.6917,208.1728,252.8,box 5,10
3.43:  106.4099,208.0796,251.7,box 5,10
3.45:  106.1284,207.9794,250.4,box 5,10
3.47:  105.8468,207.8645,247.8,box 5,10
3.48:  105.5741,207.7419,245.8,box 5,10
3.5:  105.3007,207.6044,243.3,box 5,10
3.52:  105.0468,207.462,240.7,box 4,10
3.53:  104.7857,207.2994,238.1,box 4,10
3.55:  104.5446,207.1337,235.5,box 4,10
3.57:  104.2702,206.9277,233.1,box 4,10
3.58:  104.0871,206.7778,230.7,box 4,10
3.6:  103.8659,206.5815,228.4,box 4,10
3.61:  103.6487,206.3716,226,box 4,10
3.63:  103.4355,206.1502,223.9,box 4,10
3.65:  103.2284,205.9186,221.8,box 4,10
3.67:  103.0273,205.6684,218.8,box 4,10
3.68:  102.8488,205.4315,217,box 4,10
3.7:  102.6754,205.1866,215.3,box 4,10
3.72:  102.5127,204.9409,213.5,box 4,10
3.73:  102.3481,204.6753,211.8,box 4,10
3.75:  102.1999,204.4217,210.3,box 4,10
3.77:  102.0547,204.1586,208.9,box 4,10
3.78:  101.9167,203.8947,207.6,box 4,10
3.8:  101.7392,203.6558,206.2,box 4,10
3.82:  101.5931,203.4028,204.9,box 4,9
3.83:  101.473,203.1171,202.8,box 4,9
3.85:  101.3649,202.8413,201.4,box 4,9
3.87:  101.2618,202.558,200,box 4,9
3.88:  101.1661,202.2751,198.7,box 4,9
3.9:  101.0772,201.9882,197.2,box 4,9
3.92:  101.0009,201.7092,195.3,box 4,9
3.93:  100.9298,201.4129,193.5,box 4,9
3.95:  100.865,201.1209,192.5,box 4,9
3.97:  100.8023,200.828,192.1,box 4,9
3.98:  100.7407,200.5386,192,box 4,9
4:  100.6784,200.2452,192,box 4,9
4.02:  100.6165,199.954,192,box 4,9
4.03:  100.5534,199.6575,192,box 4,9
4.05:  100.4917,199.367,192,box 4,9
4.07:  100.4285,199.0696,192,box 4,9
4.08:  100.3728,198.8077,192,box 4,9
4.1:  100.311,198.517,192,box 4,9
4.11:  100.248,198.2206,192,box 4,9
4.13:  100.1847,197.9225,192,box 4,9
4.15:  100.1209,197.6224,192,box 4,9
4.17:  100.0522,197.2995,192,box 4,9
4.18:  99.99226,197.0173,192,box 4,9
4.2:  99.92894,196.7194,192,box 4,9
4.22:  99.86832,196.4342,192,box 4,9
4.23:  99.80552,196.1388,192,box 4,9
4.25:  99.74378,195.8484,192,box 4,9
4.27:  99.67976,195.5472,192,box 4,9
4.28:  99.61783,195.2558,192,box 4,9
4.3:  99.5534,194.9603,192.3,box 4,9
4.32:  99.49014,194.6701,192.3,box 4,9
4.33:  99.42526,194.375,192.4,box 4,9
4.35:  99.35526,194.0644,192.7,box 4,9
4.37:  99.29449,193.7948,192.7,box 4,9
4.38:  99.22849,193.5019,192.7,box 4,9
4.4:  99.16054,193.2052,192.9,box 4,9
4.42:  99.09229,192.9142,193.2,box 4,9
4.43:  99.02196,192.6167,193.3,box 4,9
4.45:  98.95509,192.3339,193.3,box 4,9
4.47:  98.88479,192.0365,193.3,box 4,9
4.48:  98.81586,191.7449,193.3,box 4,9
4.5:  98.74754,191.4558,193.3,box 4,9
4.52:  98.6776,191.16,193.3,box 4,9
4.53:  98.6096,190.8723,193.3,box 4,9
4.55:  98.54092,190.5818,193.3,box 4,9
4.57:  98.47276,190.2935,193.3,box 4,9
4.58:  98.40008,189.986,193.3,box 4,9
4.6:  98.33379,189.7056,193.3,box 4,9
4.62:  98.26313,189.4066,193.3,box 4,9
4.63:  98.19654,189.125,193.3,box 4,9
4.65:  98.12608,188.8269,193.3,box 4,9
4.67:  98.05791,188.5385,193.3,box 4,9
4.68:  97.98875,188.246,193.3,box 4,9
4.7:  97.91933,187.9523,193.3,box 4,9
4.72:  97.85008,187.6593,193.3,box 4,9
4.73:  97.78129,187.3683,193.3,box 4,9
4.75:  97.71239,187.0769,193.3,box 4,9
4.77:  97.64339,186.7803,193.1,box 4,9
4.78:  97.57617,186.4868,192.9,box 4,9
4.8:  97.51131,186.1991,192.7,box 4,9
4.82:  97.443,185.8883,192.4,box 4,9
4.83:  97.38995,185.6409,192.1,box 4,9
4.85:  97.32719,185.3405,191.8,box 4,9
4.87:  97.26715,185.0454,191.5,box 4,9
4.88:  97.20798,184.741,191,box 4,9
4.9:  97.15142,184.4328,190.4,box 4,9
4.92:  97.0984,184.129,189.9,box 4,9
4.93:  97.05004,183.84,189.5,box 4,9
4.95:  97.00211,183.5408,189.1,box 4,9
4.97:  96.95708,183.2465,188.7,box 4,8
4.98:  96.91282,182.9431,188.3,box 4,8
5:  96.87257,182.653,187.9,box 4,8
5.02:  96.8325,182.3527,187.6,box 4,8
5.03:  96.7939,182.0429,187.1,box 4,8
5.05:  96.75982,181.7527,186.7,box 4,8
5.07:  96.72503,181.4426,186.4,box 4,8
5.08:  96.69645,181.166,185.9,box 4,8
5.1:  96.66663,180.8619,185.6,box 4,8
5.12:  96.63819,180.5611,185.4,box 4,8
5.13:  96.61105,180.2685,185.3,box 4,8
5.15:  96.58438,179.9697,185.1,box 4,8
5.17:  96.55791,179.6672,185,box 4,8
5.18:  96.5331,179.3716,184.8,box 4,8
5.2:  96.5097,179.0675,184.4,box 4,8
5.22:  96.48901,178.7717,184,box 4,8
5.23:  96.47188,178.4915,183.5,box 4,8
5.25:  96.45652,178.1984,183,box 4,8
5.27:  96.44293,177.8993,182.6,box 4,8
5.28:  96.43079,177.597,182.3,box 4,8
5.3:  96.42014,177.2918,182,box 4,8
5.32:  96.41019,176.9755,181.8,box 4,8
5.33:  96.4018,176.6751,181.6,box 4,8
5.35:  96.39498,176.3745,181.3,box 4,8
5.37:  96.38932,176.0799,181.1,box 4,8
5.38:  96.38496,175.7676,180.8,box 4,8
5.4:  96.38187,175.4717,180.6,box 4,8
5.42:  96.37923,175.1694,180.5,box 4,8
5.43:  96.3777,174.8773,180.3,box 4,8
5.45:  96.37823,174.5677,179.9,box 4,8
5.47:  96.38027,174.2765,179.6,box 4,8
5.48:  96.38502,173.9745,179.1,box 4,8
5.5:  96.39231,173.6759,178.6,box 4,8
5.52:  96.40335,173.3749,177.9,box 4,8
5.53:  96.41695,173.0753,177.4,box 4,8
5.55:  96.43369,172.776,176.8,box 4,8
5.57:  96.45226,172.4807,176.4,box 4,8
5.58:  96.47098,172.2131,176,box 4,8
5.6:  96.49651,171.8813,175.6,box 4,8
5.62:  96.52352,171.5662,175.1,box 4,8
5.63:  96.55113,171.2794,174.5,box 4,8
5.65:  96.58553,170.9727,173.6,box 4,8
5.67:  96.62063,170.6827,173.1,box 4,8
5.68:  96.65919,170.3817,172.7,box 4,8
5.7:  96.69849,170.091,172.3,box 4,8
5.72:  96.74107,169.7881,172,box 4,8
5.73:  96.78431,169.4953,171.6,box 4,8
5.75:  96.83213,169.1933,171,box 4,8
5.77:  96.88104,168.9011,170.5,box 4,8
5.78:  96.93465,168.6031,169.8,box 4,8
5.8:  96.99078,168.3089,169.2,box 4,8
5.82:  97.04981,168.0134,168.7,box 4,8
5.83:  97.11396,167.7116,168,box 4,8
5.85:  97.17802,167.425,167.4,box 4,8
5.87:  97.24546,167.1398,166.7,box 4,8
5.88:  97.32033,166.8439,165.8,box 4,8
5.9:  97.39776,166.5569,164.9,box 4,8
5.92:  97.48242,166.2674,163.7,box 4,8
5.93:  97.57024,165.9872,162.6,box 4,8
5.95:  97.66639,165.6981,161.6,box 4,8
5.97:  97.76368,165.4203,160.7,box 4,8
5.98:  97.86822,165.1362,159.8,box 4,8
6:  97.97318,164.8599,159.2,box 4,8
6.02:  98.08238,164.5812,158.6,box 4,8
6.03:  98.19283,164.3065,158.1,box 4,8
6.05:  98.31136,164.0203,157.5,box 4,8
6.07:  98.42626,163.7483,157.1,box 4,8
6.08:  98.5457,163.4723,156.6,box 4,7
6.1:  98.65216,163.2321,156.1,box 4,7
6.11:  98.77918,162.9533,155.5,box 4,7
6.13:  98.90772,162.6789,154.9,box 4,7
6.15:  99.05061,162.3833,154.2,box 4,7
6.17:  99.18227,162.1181,153.6,box 4,7
6.18:  99.31779,161.8533,152.9,box 4,7
6.2:  99.46085,161.582,152.2,box 4,7
6.22:  99.6019,161.3222,151.5,box 4,7
6.23:  99.74574,161.0637,150.9,box 4,7
6.25:  99.89447,160.8019,150.4,box 4,7
6.27:  100.0446,160.5429,149.9,box 4,7
6.28:  100.1924,160.2901,149.7,box 4,7
6.3:  100.3457,160.0287,149.6,box 4,7
6.32:  100.4957,159.7731,149.6,box 4,7
6.33:  100.6499,159.5112,149.5,box 4,7
6.35:  100.8034,159.2507,149.5,box 4,7
6.37:  100.9613,158.9827,149.5,box 4,7
6.38:  101.1085,158.7327,149.5,box 4,7
6.4:  101.2626,158.4711,149.5,box 4,7
6.42:  101.4128,158.2161,149.5,box 4,7
6.43:  101.5676,157.9533,149.5,box 4,7
6.45:  101.7179,157.6981,149.5,box 4,7
6.47:  101.8699,157.4401,149.5,box 4,7
6.48:  102.0238,157.1789,149.5,box 4,7
6.5:  102.177,156.9188,149.5,box 4,7
6.52:  102.3259,156.6659,149.5,box 5,7
6.53:  102.4804,156.4037,149.5,box 5,7
6.55:  102.6312,156.1476,149.5,box 5,7
6.57:  102.7846,155.8872,149.5,box 5,7
6.58:  102.9379,155.625,149.7,box 5,7
6.6:  103.1011,155.3445,149.8,box 5,7
6.61:  103.2236,155.1332,149.9,box 5,7
6.63:  103.3755,154.8712,149.9,box 5,7
6.65:  103.5261,154.6114,149.9,box 5,7
6.66:  103.6773,154.3505,149.9,box 5,7
6.68:  103.8282,154.0902,149.9,box 5,7
6.7:  103.9885,153.8137,149.9,box 5,7
6.72:  104.1404,153.5517,149.9,box 5,7
6.73:  104.2899,153.2937,149.9,box 5,7
6.75:  104.4407,153.0336,149.9,box 5,7
6.77:  104.5927,152.7714,149.9,box 5,7
6.78:  104.7405,152.5164,149.9,box 5,7
6.8:  104.8966,152.2472,149.9,box 5,7
6.82:  105.0414,151.9974,149.9,box 5,7
6.83:  105.1946,151.733,149.9,box 5,7
6.85:  105.3432,151.4767,149.9,box 5,7
6.87:  105.4941,151.2164,149.9,box 5,7
6.88:  105.6451,150.9558,149.9,box 5,7
6.9:  105.797,150.6939,149.9,box 5,7
6.92:  105.9457,150.4373,149.9,box 5,7
6.93:  106.0974,150.1757,149.9,box 5,7
6.95:  106.2455,149.9202,149.9,box 5,7
6.97:  106.3972,149.6574,150,box 5,7
6.98:  106.5452,149.3969,150.4,box 5,7
7:  106.6923,149.1292,151.2,box 5,7
7.02:  106.8288,148.8704,152.2,box 5,7
7.03:  106.9678,148.5952,153.2,box 5,7
7.05:  107.1054,148.308,154.4,box 5,7
7.07:  107.2223,148.0573,155,box 5,7
7.08:  107.3454,147.7847,155.7,box 5,7
7.1:  107.4636,147.5089,156.8,box 5,7
7.11:  107.5655,147.2528,158.3,box 5,7
7.13:  107.665,146.9764,160.2,box 5,7
7.15:  107.7566,146.6945,162,box 5,7
7.16:  107.8441,146.3993,163.5,box 5,7
7.18:  107.9245,146.1074,164.6,box 5,7
7.2:  108.0023,145.8067,165.5,box 5,7
7.22:  108.079,145.4918,166.3,box 5,7
7.23:  108.1427,145.2136,167.1,box 5,7
7.25:  108.2016,144.9293,168.3,box 5,7
7.27:  108.2565,144.633,169.5,box 5,7
7.28:  108.3008,144.3399,171.4,box 5,7
7.3:  108.339,144.0543,172.4,box 5,7
7.31:  108.3754,143.7529,173.1,box 5,7
7.33:  108.4097,143.4476,173.6,box 5,6
