0.02:  36.38782,31.74153,181.0999,
ParticipantNo: 239b
ParticipantGen: 1
Date: 11/8/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_24
5.92:  114.384,110.1988,202.1,box 5,5
5.93:  114.2753,109.931,202.1,box 5,5
5.95:  114.1619,109.6519,202.1,box 5,5
5.97:  114.0496,109.3754,202.1,box 5,5
5.98:  113.9361,109.0956,202.1,box 5,5
6:  113.8236,108.8186,202.1,box 5,5
6.02:  113.709,108.5365,202.1,box 5,5
6.03:  113.5968,108.2601,202.1,box 5,5
6.05:  113.483,107.9799,202.1,box 5,5
6.07:  113.3721,107.7067,202.1,box 5,5
6.08:  113.2663,107.4462,202.1,box 5,5
6.1:  113.156,107.1747,202.1,box 5,5
6.12:  113.0402,106.8893,202.1,box 5,5
6.13:  112.9268,106.6101,202.1,box 5,5
6.15:  112.814,106.3323,202.1,box 5,5
6.17:  112.7015,106.0554,202.1,box 5,5
6.18:  112.5868,105.7727,202.1,box 5,5
6.2:  112.4707,105.4868,202.1,box 5,5
6.22:  112.3565,105.2058,202.1,box 5,5
6.23:  112.2425,104.9249,202.1,box 5,5
6.25:  112.1283,104.6437,202.1,box 5,5
6.27:  112.0145,104.3634,202.1,box 5,5
6.28:  111.9031,104.0891,202.1,box 5,5
6.3:  111.787,103.8142,202.9,box 5,5
6.32:  111.6629,103.5382,204.2,box 5,4
6.33:  111.5364,103.2716,205.4,box 5,4
6.35:  111.3999,102.9956,206.3,box 5,4
6.37:  111.2679,102.7331,206.7,box 5,4
6.38:  111.131,102.462,206.8,box 5,4
6.4:  110.9958,102.1966,207,box 5,4
6.42:  110.8556,101.9307,207.8,box 5,4
6.43:  110.7107,101.6715,209.2,box 5,4
6.45:  110.5555,101.4112,210.8,box 5,4
6.47:  110.3988,101.1642,212.4001,box 5,4
6.48:  110.2273,100.9091,213.9001,box 5,4
6.5:  110.0488,100.666,216.3,box 5,4
6.52:  109.8602,100.4255,218.1001,box 5,4
6.53:  109.6746,100.2027,219.8,box 5,4
6.55:  109.4774,99.97831,221.3001,box 5,4
6.57:  109.276,99.75927,222.6001,box 5,4
6.58:  109.0794,99.55138,223.4001,box 5,4
6.6:  108.8692,99.33295,223.9001,box 5,4
6.62:  108.6631,99.12099,224.2,box 5,4
6.63:  108.4536,98.90858,224.6001,box 5,4
6.65:  108.236,98.69247,225.2001,box 5,4
6.67:  108.0081,98.47318,226.1001,box 5,4
6.68:  107.7863,98.26851,227.3,box 5,4
6.7:  107.5491,98.06009,228.7,box 5,4
6.72:  107.3271,97.87115,229.6001,box 5,4
6.73:  107.1037,97.68629,230.4001,box 5,4
6.75:  106.8681,97.49628,231.1001,box 5,4
6.77:  106.6347,97.3126,231.8,box 5,4
6.78:  106.3955,97.1284,232.4001,box 5,4
6.8:  106.1535,96.94534,232.9001,box 5,4
6.82:  105.9165,96.76806,233.2,box 5,4
6.83:  105.6753,96.59023,233.6001,box 5,4
6.85:  105.4319,96.41401,234.1001,box 5,4
6.87:  105.1896,96.24312,234.8001,box 4,4
6.88:  104.9356,96.0705,235.8,box 4,4
6.9:  104.6845,95.90991,237.4001,box 4,4
6.92:  104.4324,95.75419,238.3001,box 4,4
6.93:  104.1736,95.60117,239.4001,box 4,4
6.95:  103.9125,95.45282,240.4001,box 4,4
6.97:  103.652,95.3108,241.4001,box 4,4
6.98:  103.3851,95.17065,242.3001,box 4,4
7:  103.101,95.02718,243.2001,box 4,4
7.02:  102.8493,94.90437,244.0001,box 4,4
7.03:  102.5777,94.77657,244.8001,box 4,4
7.05:  102.303,94.65196,245.6001,box 4,4
7.07:  102.0005,94.52357,247.0001,box 4,4
7.08:  101.7487,94.41978,247.6001,box 4,4
7.1:  101.4467,94.30387,249.0001,box 4,4
7.12:  101.1882,94.20873,249.8001,box 4,4
7.13:  100.9086,94.10863,250.3001,box 4,4
7.15:  100.6369,94.01295,250.6001,box 4,4
7.17:  100.3508,93.91277,250.7001,box 4,4
7.18:  100.073,93.81658,250.9001,box 4,4
7.2:  99.78482,93.71678,250.9001,box 4,4
7.22:  99.48434,93.61391,251.1001,box 4,4
7.23:  99.202,93.51889,251.4001,box 4,4
7.25:  98.90921,93.42149,251.6001,box 4,4
7.27:  98.63481,93.33074,251.7001,box 4,4
7.28:  98.35149,93.23759,251.8001,box 4,4
7.3:  98.06081,93.14371,252.1001,box 4,4
7.32:  97.77434,93.05228,252.3001,box 4,4
7.33:  97.49025,92.9638,252.7001,box 4,4
7.35:  97.20638,92.87647,252.9001,box 4,4
7.37:  96.9106,92.78717,253.2001,box 4,4
7.38:  96.63042,92.70418,253.5001,box 4,4
7.4:  96.33841,92.61934,253.8001,box 4,4
7.42:  96.05136,92.53757,254.1001,box 4,4
7.43:  95.75757,92.45554,254.4001,box 4,4
7.45:  95.47552,92.37839,254.7001,box 4,4
7.47:  95.17633,92.29878,255.1001,box 4,4
7.48:  94.895,92.22602,255.5001,box 4,4
7.5:  94.59254,92.15061,256.0001,box 4,4
7.52:  94.31169,92.08163,256.2001,box 4,4
7.53:  94.01567,92.01056,256.5001,box 4,4
7.55:  93.72858,91.94322,256.8001,box 4,4
7.57:  93.43472,91.87592,257.1001,box 4,4
7.58:  93.17191,91.81669,257.3001,box 4,4
7.6:  92.87222,91.7508,257.6001,box 4,4
7.62:  92.57289,91.68827,258.2001,box 4,4
7.63:  92.28313,91.63142,258.9001,box 4,4
7.65:  91.98572,91.57845,259.9001,box 4,4
7.67:  91.68309,91.52834,260.6001,box 4,4
7.68:  91.37833,91.48116,261.2001,box 4,4
7.7:  91.07381,91.43729,261.8001,box 4,4
7.72:  90.78537,91.39726,262.1001,box 4,4
7.73:  90.47742,91.35508,262.2001,box 4,4
7.75:  90.17911,91.31474,262.3001,box 4,4
7.77:  89.88815,91.27541,262.3001,box 4,4
7.78:  89.59232,91.23541,262.3001,box 4,4
7.8:  89.2943,91.19511,262.3001,box 4,4
7.82:  88.99568,91.15474,262.3001,box 4,4
7.83:  88.69745,91.11442,262.3001,box 4,4
7.85:  88.40298,91.07461,262.3001,box 4,4
7.87:  88.10349,91.03411,262.3001,box 4,4
7.88:  87.80814,90.99418,262.3001,box 4,4
7.9:  87.51228,90.95418,262.3001,box 4,4
7.92:  87.2177,90.91435,262.3001,box 4,4
7.93:  86.91173,90.87299,262.3001,box 4,4
7.95:  86.62071,90.83363,262.3001,box 4,4
7.97:  86.31606,90.79245,262.3001,box 4,4
7.98:  86.02553,90.75317,262.3001,box 4,4
8:  85.72868,90.71303,262.3001,box 4,4
8.02:  85.42976,90.67315,262.4001,box 4,4
8.03:  85.13213,90.63344,262.4001,box 4,4
8.05:  84.8347,90.59375,262.4001,box 3,4
8.07:  84.53859,90.55476,262.5001,box 3,4
8.08:  84.24452,90.51657,262.6001,box 3,4
8.1:  83.95973,90.48009,262.7001,box 3,4
8.12:  83.65034,90.44101,262.8001,box 3,4
8.13:  83.33563,90.40181,262.9001,box 3,4
8.15:  83.06378,90.36843,263.0001,box 3,4
8.17:  82.76904,90.33276,263.1001,box 3,4
8.18:  82.47525,90.29825,263.3001,box 3,4
8.2:  82.17551,90.26463,263.6001,box 3,4
8.22:  81.87335,90.23341,264.1001,box 3,4
8.23:  81.56064,90.20495,264.8001,box 3,4
8.25:  81.25943,90.18071,265.4001,box 3,4
8.27:  80.95483,90.15835,265.8001,box 3,4
8.28:  80.66083,90.13779,266.0001,box 3,4
8.3:  80.36047,90.11784,266.2001,box 3,4
8.32:  80.05559,90.09812,266.3001,box 3,4
8.33:  79.76051,90.07956,266.4001,box 3,4
8.35:  79.46187,90.06234,266.7001,box 3,4
8.37:  79.15675,90.04688,267.1001,box 3,4
8.38:  78.85463,90.03422,267.6001,box 3,4
8.4:  78.56233,90.02299,267.8001,box 3,4
8.42:  78.25829,90.01237,268.0001,box 3,4
8.43:  77.9612,90.00304,268.2001,box 3,4
8.45:  77.66376,89.99421,268.3001,box 3,4
8.47:  77.36298,89.98581,268.4001,box 3,4
8.48:  77.06689,89.97806,268.5001,box 3,4
8.5:  76.76469,89.97067,268.6001,box 3,4
8.52:  76.45222,89.96358,268.7001,box 3,4
8.53:  76.1595,89.95796,268.9001,box 3,4
8.55:  75.86436,89.95281,269.0001,box 3,4
8.57:  75.5666,89.94865,269.2001,box 3,4
8.58:  75.27144,89.94556,269.4001,box 3,4
8.6:  74.98474,89.94406,269.7001,box 3,4
8.62:  74.68604,89.94354,269.9001,box 3,4
8.63:  74.38358,89.94407,270.1001,box 3,4
8.65:  74.06754,89.94627,270.4001,box 3,4
8.67:  73.7637,89.94946,270.6001,box 3,4
8.68:  73.44214,89.95395,270.8001,box 3,4
8.7:  73.16672,89.95827,270.9001,box 3,4
8.72:  72.85011,89.96436,271.1001,box 3,4
8.73:  72.56633,89.9703,271.2001,box 3,4
8.75:  72.26268,89.97719,271.3001,box 3,4
8.77:  71.96982,89.98384,271.3001,box 3,4
8.78:  71.66743,89.9907,271.3001,box 3,4
8.8:  71.36481,89.99757,271.3001,box 3,4
8.82:  71.06537,90.00436,271.3001,box 3,4
8.83:  70.76971,90.01107,271.3001,box 3,4
8.85:  70.46683,90.01794,271.3001,box 3,4
8.87:  70.16959,90.0247,271.3001,box 3,4
8.88:  69.8736,90.03141,271.3001,box 3,4
8.9:  69.57428,90.0382,271.3001,box 3,4
8.92:  69.26813,90.04515,271.3001,box 3,4
8.93:  68.97086,90.0519,271.3001,box 3,4
8.95:  68.66933,90.05874,271.3001,box 3,4
8.97:  68.37215,90.06548,271.3001,box 3,4
8.98:  68.07021,90.07233,271.3001,box 3,4
9:  67.77449,90.07905,271.3001,box 3,4
9.02:  67.46812,90.086,271.3001,box 3,4
9.03:  67.17531,90.09264,271.3001,box 3,4
9.05:  66.86525,90.09969,271.3001,box 3,4
9.07:  66.57291,90.10632,271.3001,box 3,4
9.08:  66.26544,90.1133,271.3001,box 3,4
9.1:  65.99036,90.11954,271.3001,box 3,4
9.12:  65.68498,90.12647,271.3001,box 3,4
9.13:  65.38963,90.13317,271.3001,box 3,4
9.15:  65.0909,90.13995,271.3001,box 2,4
9.17:  64.79054,90.14677,271.3001,box 2,4
9.18:  64.48895,90.15361,271.3001,box 2,4
9.2:  64.18564,90.1605,271.3001,box 2,4
9.22:  63.87088,90.16764,271.3001,box 2,4
9.23:  63.57698,90.17431,271.3001,box 2,4
9.25:  63.26648,90.18136,271.3001,box 2,4
9.27:  62.97156,90.18805,271.3001,box 2,4
9.28:  62.66442,90.19502,271.3001,box 2,4
9.3:  62.37106,90.20168,271.3001,box 2,4
9.32:  62.06461,90.20863,271.3001,box 2,4
