0.02:  193.6079,171.7357,91.9,
ParticipantNo: 216a
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_23
5.93:  171.5128,171.2961,85.70004,box 2,2
5.95:  171.8144,171.3177,85.90004,box 2,2
5.96:  172.1093,171.3389,85.90004,box 2,2
5.98:  172.4081,171.3603,85.90004,box 2,2
6:  172.7028,171.3814,85.90004,box 2,2
6.01:  173.0083,171.4033,85.90004,box 2,2
6.03:  173.2994,171.4242,85.90004,box 2,2
6.05:  173.6069,171.4462,85.90004,box 2,2
6.06:  173.8973,171.4671,85.90004,box 2,2
6.08:  174.2053,171.4891,85.90004,box 2,2
6.1:  174.476,171.5085,85.90004,box 2,2
6.11:  174.7795,171.5303,85.90004,box 2,2
6.13:  175.0742,171.5514,85.90004,box 2,2
6.15:  175.3855,171.5737,85.90004,box 2,2
6.16:  175.6836,171.5951,85.90004,box 2,2
6.18:  175.9926,171.6172,85.90004,box 2,2
6.2:  176.2974,171.6391,85.90004,box 2,2
6.21:  176.5887,171.66,85.90004,box 2,2
6.23:  176.8988,171.6822,85.90004,box 2,2
6.25:  177.1927,171.7033,85.90004,box 2,2
6.26:  177.4957,171.725,85.90004,box 2,2
6.28:  177.7906,171.7461,85.90004,box 2,2
6.3:  178.0904,171.7676,85.90004,box 2,2
6.31:  178.383,171.7886,85.90004,box 2,2
6.33:  178.6906,171.8106,85.90004,box 2,2
6.35:  178.983,171.8316,85.90004,box 2,2
6.36:  179.2858,171.8533,85.90004,box 2,2
6.38:  179.584,171.8747,85.90004,box 2,2
6.4:  179.8912,171.8967,85.90004,box 2,2
6.41:  180.1832,171.9176,85.90004,box 2,2
6.43:  180.4895,171.9396,85.90004,box 2,2
6.45:  180.7786,171.9603,85.90004,box 2,2
6.46:  181.089,171.9826,85.90004,box 2,2
6.48:  181.3823,172.0036,85.90004,box 2,2
6.5:  181.6867,172.0254,85.90004,box 2,2
6.51:  181.9787,172.0463,85.90004,box 2,2
6.53:  182.2765,172.0677,85.90004,box 2,2
6.55:  182.562,172.0881,85.90004,box 2,2
6.56:  182.8619,172.1096,85.90004,box 2,1
6.58:  183.1655,172.1314,85.90004,box 2,1
6.6:  183.4695,172.1527,86.00004,box 2,1
6.61:  183.7718,172.1722,86.30003,box 2,1
6.63:  184.1011,172.1929,86.40003,box 2,1
6.65:  184.3771,172.2098,86.50004,box 2,1
6.66:  184.6785,172.2277,86.60004,box 2,1
6.68:  184.9722,172.2452,86.60004,box 2,1
