0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
3.62:  74.48497,92.63895,85.89996,box 3,4
3.63:  74.78574,92.66051,85.89996,box 3,4
3.65:  75.086,92.68362,85.59996,box 3,4
3.67:  75.38728,92.70998,84.99995,box 3,4
3.68:  75.68318,92.73899,84.39996,box 3,4
3.7:  75.97993,92.76809,84.39996,box 3,4
3.72:  76.28185,92.79769,84.39996,box 3,4
3.73:  76.58162,92.82709,84.39996,box 3,4
3.75:  76.89764,92.85807,84.39996,box 3,4
3.77:  77.20767,92.88847,84.39996,box 3,4
3.78:  77.51019,92.91813,84.39996,box 3,4
3.8:  77.80757,92.94729,84.39996,box 3,4
3.82:  78.10887,92.97683,84.39996,box 3,4
3.83:  78.40077,93.00546,84.39996,box 3,4
3.85:  78.70125,93.03492,84.39996,box 3,4
3.87:  78.99736,93.06395,84.39996,box 3,4
3.88:  79.29872,93.0935,84.39996,box 3,4
3.9:  79.59612,93.12266,84.39996,box 3,4
3.92:  79.89775,93.15224,84.39996,box 3,4
3.93:  80.1895,93.18084,84.39996,box 3,4
3.95:  80.49225,93.21053,84.39996,box 3,4
3.97:  80.79141,93.23986,84.39996,box 3,4
3.98:  81.08591,93.26874,84.39996,box 3,4
4:  81.38058,93.29763,84.39996,box 3,4
4.02:  81.68384,93.32683,84.49996,box 3,4
4.03:  81.98727,93.35445,84.79996,box 3,4
4.05:  82.28052,93.37804,85.39996,box 3,4
4.07:  82.58221,93.40019,85.79996,box 4,4
4.08:  82.87917,93.41991,86.19995,box 4,4
4.1:  83.18234,93.43687,86.79996,box 4,4
4.12:  83.47008,93.44994,87.39996,box 4,4
4.13:  83.75841,93.46051,87.89996,box 4,4
4.15:  84.05891,93.46785,88.59996,box 4,4
4.17:  84.35956,93.47205,89.19996,box 4,4
4.18:  84.66016,93.4731,89.79995,box 4,4
4.2:  84.97079,93.47039,90.49995,box 4,4
4.22:  85.2807,93.46552,90.89995,box 4,4
4.23:  85.5932,93.46007,90.99995,box 4,4
4.25:  85.87631,93.45463,91.09996,box 4,4
4.27:  86.17358,93.44892,91.09996,box 4,4
4.28:  86.47653,93.44311,91.09996,box 4,4
4.3:  86.77287,93.43742,91.09996,box 4,4
4.32:  87.07747,93.43156,91.09996,box 4,4
4.33:  87.37898,93.42578,91.09996,box 4,4
4.35:  87.67389,93.42012,91.09996,box 4,4
4.37:  87.97754,93.41428,91.09996,box 4,4
4.38:  88.27357,93.4086,91.09996,box 4,4
4.4:  88.57553,93.4028,91.09996,box 4,4
4.42:  88.87198,93.39711,91.09996,box 4,4
4.43:  89.17436,93.3913,91.09996,box 4,4
4.45:  89.47258,93.38558,91.09996,box 4,4
4.47:  89.77538,93.37977,91.09996,box 4,4
4.48:  90.07176,93.37408,91.09996,box 4,4
4.5:  90.37389,93.36828,91.09996,box 4,4
4.52:  90.6713,93.36256,91.09996,box 4,4
4.53:  90.97305,93.35677,91.09996,box 4,4
4.55:  91.27495,93.35098,91.09996,box 4,4
4.57:  91.54048,93.34588,91.09996,box 4,4
4.58:  91.87234,93.33951,91.09996,box 4,4
4.6:  92.17566,93.33368,91.09996,box 4,4
4.62:  92.47174,93.32954,90.79996,box 4,4
4.63:  92.77687,93.32954,89.99995,box 4,4
4.65:  93.07274,93.33575,88.79995,box 4,4
4.67:  93.36852,93.34866,87.49995,box 4,4
4.68:  93.64771,93.3672,86.19995,box 4,4
4.7:  93.9541,93.39941,83.99995,box 4,4
4.72:  94.24402,93.43809,82.39996,box 4,4
4.73:  94.5405,93.48558,80.89996,box 4,4
4.75:  94.8526,93.5423,79.69996,box 4,4
4.77:  95.15741,93.6021,78.89996,box 4,4
4.78:  95.44783,93.65961,78.79996,box 4,4
4.8:  95.74094,93.71764,78.79996,box 4,4
4.82:  96.03435,93.77574,78.79996,box 4,4
4.83:  96.32909,93.8341,78.79996,box 4,4
4.85:  96.62279,93.89225,78.79996,box 4,4
4.87:  96.92067,93.95123,78.79996,box 4,4
4.88:  97.20943,94.00841,78.79996,box 4,4
4.9:  97.5092,94.06777,78.79996,box 4,4
4.92:  97.80006,94.12536,78.79996,box 4,4
4.93:  98.09872,94.18449,78.79996,box 4,4
4.95:  98.38657,94.24149,78.79996,box 4,4
4.97:  98.68219,94.30003,78.79996,box 4,4
4.98:  98.9787,94.36143,78.29996,box 4,4
5:  99.27664,94.42748,77.49996,box 4,4
5.02:  99.56218,94.49815,76.09995,box 4,4
5.03:  99.8558,94.58179,74.09996,box 4,4
5.05:  100.1354,94.6759,71.39996,box 4,4
5.07:  100.4156,94.80652,64.99995,box 4,4
5.08:  100.6696,94.94965,60.59995,box 4,4
5.1:  100.9231,95.11118,57.49995,box 4,4
5.12:  101.1698,95.27883,55.79995,box 4,4
5.13:  101.4238,95.45471,55.29995,box 4,4
5.15:  101.6658,95.62348,55.09995,box 4,4
5.17:  101.9071,95.79435,54.69995,box 4,4
5.18:  102.1488,95.9706,53.89995,box 4,4
5.2:  102.3908,96.15635,52.49995,box 4,4
5.22:  102.6259,96.34467,51.29995,box 5,4
5.23:  102.8527,96.5343,50.09995,box 5,4
5.25:  103.0817,96.7341,48.89996,box 5,4
5.27:  103.3041,96.93785,47.49996,box 5,4
5.28:  103.523,97.14127,47.09995,box 5,4
5.3:  103.7423,97.34507,47.09995,box 5,4
5.32:  103.9556,97.54327,47.09995,box 5,4
5.33:  104.1778,97.74976,47.09995,box 5,4
5.35:  104.4006,97.95679,47.09995,box 5,4
5.37:  104.6199,98.16059,47.09995,box 5,4
5.38:  104.8422,98.36712,47.09995,box 5,4
5.4:  105.0599,98.56947,47.09995,box 5,4
5.42:  105.2791,98.77319,47.09995,box 5,4
5.43:  105.5022,98.98051,47.09995,box 5,4
5.45:  105.7179,99.18094,47.09995,box 5,4
5.47:  105.9435,99.38474,47.89995,box 5,4
5.48:  106.1681,99.58277,48.59996,box 5,4
5.5:  106.3949,99.7785,49.19995,box 5,4
5.52:  106.6215,99.97208,49.49995,box 5,4
5.53:  106.8501,100.1673,49.49995,box 5,4
5.55:  107.079,100.3628,49.49995,box 5,4
5.57:  107.3059,100.5566,49.49995,box 5,4
5.58:  107.5297,100.7477,49.49995,box 5,5
5.6:  107.7605,100.9477,49.09996,box 5,5
5.62:  107.9838,101.1516,47.59996,box 5,5
