0.02:  34.76173,31.74671,170.8999,
ParticipantNo: 211a
ParticipantGen: 1
Date: 10/20/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_05
3.38:  31.85845,209.6505,255.7,box 1,10
3.4:  31.62562,209.5912,255.7,box 1,10
3.42:  31.38043,209.5287,255.7,box 1,10
3.43:  31.10964,209.4602,255.8,box 1,10
3.45:  30.83646,209.391,255.8,box 1,10
3.47:  30.54963,209.3185,255.8,box 1,10
3.48:  30.258,209.2447,255.8,box 1,10
3.5:  29.968,209.1713,255.8,box 1,10
3.52:  29.67747,209.0978,255.8,box 1,10
3.53:  29.40643,209.0292,255.8,box 1,10
3.55:  29.11492,208.9554,255.8,box 1,10
3.56:  28.81984,208.8808,255.8,box 1,10
3.58:  28.52476,208.8061,255.8,box 1,10
3.6:  28.22566,208.7304,255.8,box 1,10
3.62:  27.93451,208.6567,255.8,box 1,10
3.63:  27.64193,208.5827,255.8,box 1,10
3.65:  27.34494,208.5076,255.8,box 1,10
3.66:  27.07771,208.4399,255.8,box 1,10
3.68:  26.77802,208.3641,255.8,box 1,10
3.7:  26.49097,208.2867,254.9001,box 1,10
3.72:  26.20307,208.1981,252.9001,box 1,10
3.73:  25.91356,208.0852,248.7001,box 1,10
3.75:  25.63726,207.9645,246.4001,box 1,10
3.77:  25.368,207.8366,244.6001,box 1,10
3.78:  25.09727,207.6987,243.0001,box 1,10
3.8:  24.82447,207.5493,241.3,box 0,10
3.82:  24.57177,207.4017,239.7001,box 0,10
3.83:  24.31184,207.2386,237.9001,box 0,10
3.85:  24.06765,207.0751,236.2,box 0,10
3.87:  23.8289,206.9055,234.6001,box 0,10
3.88:  23.58534,206.7219,233.0001,box 0,10
3.9:  23.36862,206.5483,231.3,box 0,10
3.91:  23.14001,206.3524,229.4001,box 0,10
3.93:  22.9157,206.1388,226.4001,box 0,10
3.95:  22.70709,205.9272,224.6001,box 0,10
3.96:  22.50754,205.714,223.1001,box 0,10
3.98:  22.30379,205.4861,221.8,box 0,10
4:  22.09833,205.2489,220.9001,box 0,10
4.02:  21.90509,205.0178,219.9001,box 0,10
4.03:  21.71718,204.7849,218.9001,box 0,10
4.05:  21.53262,204.5478,217.9001,box 0,10
4.07:  21.34799,204.301,216.8,box 0,10
4.08:  21.17959,204.065,215.5001,box 0,10
4.1:  21.00836,203.8111,214.0001,box 0,10
4.12:  20.85431,203.5597,211.5001,box 0,9
4.13:  20.70397,203.2951,209.6001,box 0,9
4.15:  20.56668,203.0325,207.6001,box 0,9
4.17:  20.43925,202.7617,205.2001,box 0,9
4.18:  20.32541,202.4841,202.3,box 0,9
4.2:  20.22324,202.194,199.4001,box 0,9
4.22:  20.14014,201.9134,196.5001,box 0,9
4.23:  20.06599,201.6116,193.8001,box 0,9
4.25:  20.00681,201.3232,191.6001,box 0,9
4.27:  19.95614,201.0268,189.7001,box 0,9
4.28:  19.91564,200.7311,187.8,box 0,9
4.3:  19.88822,200.4177,185.0001,box 0,9
4.32:  19.8723,200.1329,183.2001,box 0,9
4.33:  19.86378,199.8281,181.6001,box 0,9
4.35:  19.86168,199.5269,180.4001,box 0,9
4.37:  19.86325,199.2264,179.7001,box 0,9
4.38:  19.86637,198.9279,179.4001,box 0,9
4.4:  19.87068,198.6197,179.2001,box 0,9
4.42:  19.87477,198.3266,179.2001,box 0,9
4.43:  19.87897,198.0262,179.2001,box 0,9
4.45:  19.8831,197.7301,179.2001,box 0,9
4.47:  19.88734,197.4263,179.2001,box 0,9
4.48:  19.8889,197.1281,179.7001,box 0,9
4.5:  19.88145,196.823,181.4001,box 0,9
4.52:  19.8669,196.5257,182.8,box 0,9
4.53:  19.84703,196.2551,184.2001,box 0,9
4.55:  19.81787,195.9522,185.5001,box 0,9
4.57:  19.78303,195.6556,186.7001,box 0,9
4.58:  19.74192,195.3594,187.9001,box 0,9
4.6:  19.69378,195.052,188.9001,box 0,9
4.62:  19.64093,194.7428,189.7001,box 0,9
4.63:  19.58834,194.4534,190.3,box 0,9
4.65:  19.53407,194.1606,190.5001,box 0,9
4.67:  19.47889,193.8658,190.6001,box 0,9
4.68:  19.42389,193.5719,190.6001,box 0,9
4.7:  19.36851,193.276,190.6001,box 0,9
4.72:  19.31593,192.995,190.6001,box 0,9
4.73:  19.25978,192.695,190.6001,box 0,9
4.75:  19.20633,192.4093,190.6001,box 0,9
4.76:  19.15121,192.1148,190.6001,box 0,9
4.78:  19.09553,191.8173,190.6001,box 0,9
4.8:  19.04117,191.5211,190.4001,box 0,9
4.81:  18.98912,191.2318,190.2001,box 0,9
4.83:  18.93649,190.9303,189.9001,box 0,9
4.85:  18.88789,190.6429,189.6001,box 0,9
4.86:  18.83995,190.347,189.2001,box 0,9
4.88:  18.79295,190.0468,188.9001,box 0,9
4.9:  18.74677,189.7485,188.8001,box 0,9
4.92:  18.70185,189.448,188.5001,box 0,9
4.93:  18.65868,189.152,188.3001,box 0,9
4.95:  18.61595,188.8555,188.2001,box 0,9
4.97:  18.57346,188.5606,188.2001,box 0,9
4.98:  18.53017,188.2565,188.1001,box 0,9
5:  18.48651,187.9497,188.1001,box 0,9
5.02:  18.44476,187.6527,188.0001,box 0,9
5.03:  18.40578,187.3753,188.0001,box 0,9
5.05:  18.36419,187.0793,188.0001,box 0,9
5.07:  18.31902,186.7579,188.0001,box 0,9
5.08:  18.27743,186.4621,188.0001,box 0,9
5.1:  18.23594,186.163,187.9001,box 0,9
5.12:  18.19438,185.8635,187.9001,box 0,9
5.13:  18.15364,185.5699,187.9001,box 0,9
5.15:  18.11267,185.2747,187.9001,box 0,9
5.17:  18.07057,184.9713,187.9001,box 0,9
5.18:  18.0299,184.6782,187.9001,box 0,9
5.2:  17.98674,184.3672,187.9001,box 0,9
5.22:  17.94712,184.0816,187.9001,box 0,9
5.23:  17.90524,183.7799,187.9001,box 0,9
5.25:  17.8652,183.4913,187.9001,box 0,8
5.27:  17.82368,183.192,187.9001,box 0,8
5.28:  17.78294,182.8985,187.9001,box 0,8
5.3:  17.74148,182.5997,187.9001,box 0,8
5.32:  17.70015,182.3018,187.9001,box 0,8
5.33:  17.65876,182.0036,187.9001,box 0,8
5.35:  17.61744,181.7057,187.9001,box 0,8
5.37:  17.57534,181.4024,187.9001,box 0,8
5.38:  17.5345,181.1081,187.9001,box 0,8
5.4:  17.49388,180.8154,187.9001,box 0,8
5.42:  17.45094,180.5059,187.9001,box 0,8
5.43:  17.41248,180.2287,187.9001,box 0,8
5.45:  17.37009,179.9232,187.9001,box 0,8
5.47:  17.32954,179.631,187.9001,box 0,8
5.48:  17.28774,179.3298,187.9001,box 0,8
5.5:  17.2471,179.0369,187.9001,box 0,8
5.52:  17.20549,178.737,187.9001,box 0,8
5.53:  17.16785,178.4658,187.9001,box 0,8
5.55:  17.12579,178.1626,187.9001,box 0,8
5.56:  17.08451,177.8652,187.9001,box 0,8
5.58:  17.04189,177.558,187.9001,box 0,8
5.6:  16.9996,177.2533,187.9001,box 0,8
5.62:  16.95817,176.9547,187.9001,box 0,8
5.63:  16.9174,176.6609,187.9001,box 0,8
5.65:  16.87627,176.3645,187.9001,box 0,8
5.67:  16.83536,176.0697,187.9001,box 0,8
5.68:  16.79373,175.7697,187.9001,box 0,8
5.7:  16.75253,175.4728,187.9001,box 0,8
5.72:  16.711,175.1735,187.9001,box 0,8
5.73:  16.67036,174.8806,187.9001,box 0,8
5.75:  16.62796,174.575,187.9001,box 0,8
5.77:  16.58707,174.2803,187.9001,box 0,8
5.78:  16.54453,173.9738,187.9001,box 0,8
5.8:  16.50422,173.6833,187.9001,box 0,8
5.82:  16.46279,173.3848,187.9001,box 0,8
5.83:  16.42209,173.0914,187.9001,box 0,8
5.85:  16.3787,172.7788,187.9001,box 0,8
5.87:  16.33941,172.4956,187.9001,box 0,8
5.88:  16.29738,172.1927,187.9001,box 0,8
5.9:  16.25746,171.905,187.9001,box 0,8
5.92:  16.2149,171.5983,187.9001,box 0,8
5.93:  16.17472,171.3087,187.9001,box 0,8
5.95:  16.13228,171.0029,187.9001,box 0,8
5.97:  16.09179,170.7111,187.9001,box 0,8
5.98:  16.05027,170.4119,187.9001,box 0,8
6:  16.00957,170.1186,187.9001,box 0,8
6.02:  15.96851,169.8227,187.9001,box 0,8
6.03:  15.93064,169.5497,187.9001,box 0,8
6.05:  15.88877,169.2481,187.9001,box 0,8
6.07:  15.84736,168.9496,187.9001,box 0,8
6.08:  15.80508,168.6449,187.9001,box 0,8
6.1:  15.76256,168.3385,187.9001,box 0,8
6.12:  15.72077,168.0373,187.9001,box 0,8
6.13:  15.68267,167.744,187.4001,box 0,8
6.15:  15.64736,167.4388,186.6001,box 0,8
6.17:  15.61784,167.1431,185.7001,box 0,8
6.18:  15.59029,166.8282,185.0001,box 0,8
6.2:  15.56741,166.5438,184.6001,box 0,8
6.22:  15.54489,166.2443,184.3001,box 0,8
6.23:  15.52314,165.9482,184.2001,box 0,8
6.25:  15.5014,165.6448,184.1001,box 0,8
6.27:  15.48046,165.3527,184.1001,box 0,8
6.28:  15.45869,165.0491,184.1001,box 0,8
6.3:  15.43761,164.7549,184.1001,box 0,8
6.32:  15.4154,164.445,184.1001,box 0,8
6.33:  15.39316,164.1494,184.3001,box 0,8
6.35:  15.36838,163.8413,184.6001,box 0,8
6.37:  15.34416,163.5529,184.8001,box 0,8
6.38:  15.31686,163.2471,185.1001,box 0,7
6.4:  15.2892,162.9545,185.4001,box 0,7
6.42:  15.25766,162.6439,185.8001,box 0,7
6.43:  15.22508,162.3535,186.4001,box 0,7
6.45:  15.18883,162.0582,187.0001,box 0,7
6.47:  15.14924,161.7692,187.8,box 0,7
6.48:  15.10353,161.4634,188.5001,box 0,7
6.5:  15.05603,161.1733,189.3001,box 0,7
6.52:  15.00083,160.8665,190.2001,box 0,7
6.53:  14.94822,160.5826,190.5001,box 0,7
6.55:  14.89141,160.282,190.7001,box 0,7
6.57:  14.83629,159.9931,190.8001,box 0,7
6.58:  14.78083,159.7023,190.8001,box 0,7
6.6:  14.72509,159.4101,190.8001,box 0,7
6.62:  14.66848,159.1134,190.8001,box 0,7
6.63:  14.61257,158.8203,190.8001,box 0,7
6.65:  14.55618,158.5247,190.8001,box 0,7
6.67:  14.50069,158.2338,190.8001,box 0,7
6.68:  14.44394,157.9363,190.8001,box 0,7
6.7:  14.38845,157.6454,190.8001,box 0,7
6.72:  14.33029,157.3347,190.6001,box 0,7
6.73:  14.27755,157.0529,190.6001,box 0,7
6.75:  14.22112,156.7513,190.6001,box 0,7
6.77:  14.16703,156.4623,190.6001,box 0,7
6.78:  14.1096,156.1554,190.6001,box 0,7
6.8:  14.05637,155.871,190.6001,box 0,7
6.82:  14.00045,155.5721,190.6001,box 0,7
6.83:  13.94572,155.2797,190.6001,box 0,7
6.85:  13.89005,154.9822,190.6001,box 0,7
6.87:  13.83632,154.6951,190.6001,box 0,7
6.88:  13.77971,154.3927,190.6001,box 0,7
6.9:  13.72567,154.0982,190.4001,box 0,7
6.92:  13.67112,153.801,190.4001,box 0,7
6.93:  13.6175,153.5089,190.4001,box 0,7
6.95:  13.56259,153.2097,190.4001,box 0,7
6.97:  13.50902,152.9178,190.4001,box 0,7
6.98:  13.45433,152.6198,190.4001,box 0,7
7:  13.40094,152.3289,190.4001,box 0,7
7.02:  13.34655,152.0326,190.4001,box 0,7
7.03:  13.29305,151.7411,190.4001,box 0,7
7.05:  13.23823,151.4424,190.4001,box 0,7
7.07:  13.18486,151.1516,190.4001,box 0,7
7.08:  13.13091,150.8517,190.2001,box 0,7
7.1:  13.07861,150.5552,190.0001,box 0,7
7.12:  13.02608,150.2511,189.8001,box 0,7
7.13:  12.97791,149.9663,189.6001,box 0,7
7.15:  12.92942,149.6734,189.4001,box 0,7
7.17:  12.88044,149.3709,189.2001,box 0,7
7.18:  12.83535,149.0797,188.8001,box 0,7
7.2:  12.79012,148.777,188.5001,box 0,7
7.22:  12.7495,148.4843,187.9001,box 0,7
7.23:  12.71124,148.1771,187.1001,box 0,7
7.25:  12.67764,147.8822,186.5001,box 0,7
7.27:  12.64678,147.5784,185.8001,box 0,7
7.28:  12.62057,147.2904,185.2001,box 0,7
7.3:  12.59588,146.9901,184.7001,box 0,7
7.32:  12.57513,146.6857,183.9001,box 0,7
7.33:  12.55787,146.3864,183.3001,box 0,7
7.35:  12.54516,146.0952,182.5001,box 0,7
7.37:  12.53569,145.7939,181.8001,box 0,7
7.38:  12.53049,145.4961,181.0001,box 0,7
7.4:  12.52837,145.1935,180.4001,box 0,7
7.42:  12.52785,144.8958,180.1001,box 0,7
7.43:  12.52838,144.5934,179.9001,box 0,7
7.45:  12.52942,144.296,179.8001,box 0,7
7.47:  12.53048,143.993,179.8001,box 0,7
7.48:  12.5315,143.6981,179.8001,box 0,7
7.5:  12.53313,143.3876,179.7001,box 0,6
7.52:  12.53465,143.0987,179.7001,box 0,6
7.53:  12.53625,142.7925,179.7001,box 0,6
7.55:  12.5378,142.496,179.7001,box 0,6
7.57:  12.53941,142.1873,179.7001,box 0,6
7.58:  12.54132,141.9148,179.6001,box 0,6
7.6:  12.54345,141.6095,179.6001,box 0,6
7.62:  12.54556,141.3063,179.6001,box 0,6
7.63:  12.54779,140.987,179.6001,box 0,6
7.65:  12.54982,140.6974,179.6001,box 0,6
7.67:  12.55194,140.3924,179.6001,box 0,6
7.68:  12.55391,140.1102,179.6001,box 0,6
7.7:  12.556,139.811,179.6001,box 0,6
7.72:  12.55811,139.5089,179.6001,box 0,6
7.73:  12.56024,139.2035,179.6001,box 0,6
7.75:  12.5624,138.8942,179.6001,box 0,6
7.77:  12.56454,138.588,179.6001,box 0,6
7.78:  12.56659,138.2942,179.6001,box 0,6
7.8:  12.56873,137.987,179.6001,box 0,6
7.82:  12.57076,137.6968,179.6001,box 0,6
7.83:  12.57286,137.3955,179.6001,box 0,6
7.85:  12.57493,137.0999,179.6001,box 0,6
7.87:  12.57708,136.7906,179.6001,box 0,6
7.88:  12.57911,136.5,179.6001,box 0,6
7.9:  12.58123,136.1962,179.6001,box 0,6
7.92:  12.58332,135.8977,179.6001,box 0,6
7.93:  12.58541,135.5969,179.6001,box 0,6
7.95:  12.58751,135.2975,179.6001,box 0,6
7.97:  12.58969,134.985,179.6001,box 0,6
7.98:  12.59169,134.6974,179.6001,box 0,6
8:  12.59381,134.395,179.6001,box 0,6
8.02:  12.59588,134.0984,179.6001,box 0,6
8.03:  12.59798,133.7971,179.6001,box 0,6
8.05:  12.6001,133.4942,179.6001,box 0,6
8.07:  12.60221,133.1909,179.6001,box 0,6
8.08:  12.60426,132.8972,179.6001,box 0,6
8.1:  12.60625,132.6121,179.6001,box 0,6
8.11:  12.60835,132.3124,179.6001,box 0,6
8.13:  12.61047,132.008,179.6001,box 0,6
8.15:  12.61261,131.702,179.6001,box 0,6
8.17:  12.61478,131.3904,179.6001,box 0,6
8.18:  12.61681,131.0992,179.6001,box 0,6
8.2:  12.61893,130.7961,179.6001,box 0,6
8.22:  12.62102,130.4972,179.6001,box 0,6
8.23:  12.62312,130.1956,179.6001,box 0,6
8.25:  12.62521,129.8966,179.6001,box 0,6
8.27:  12.62733,129.593,179.6001,box 0,6
8.28:  12.62942,129.2939,179.6001,box 0,6
8.3:  12.63155,128.9879,179.6001,box 0,6
8.32:  12.63359,128.695,179.6001,box 0,6
8.33:  12.63569,128.3954,179.6001,box 0,6
8.35:  12.63779,128.0938,179.6001,box 0,6
8.37:  12.6399,127.7912,179.6001,box 0,6
8.38:  12.64199,127.4929,179.6001,box 0,6
8.4:  12.64416,127.1819,179.6001,box 0,6
8.42:  12.64615,126.8967,179.6001,box 0,6
8.43:  12.6483,126.5882,179.6001,box 0,6
8.45:  12.65033,126.2981,179.6001,box 0,6
8.47:  12.6525,125.9858,179.6001,box 0,6
8.48:  12.65454,125.6941,179.6001,box 0,6
8.5:  12.65662,125.3962,179.6001,box 0,6
8.52:  12.65874,125.0932,179.6001,box 0,6
8.53:  12.66082,124.7943,179.6001,box 0,6
8.55:  12.6629,124.4961,179.6001,box 0,6
8.57:  12.66502,124.1932,179.6001,box 0,6
8.58:  12.6671,123.8953,179.6001,box 0,6
8.6:  12.66917,123.5991,179.6001,box 0,6
8.62:  12.67125,123.3005,179.6001,box 0,5
8.63:  12.67337,122.997,179.6001,box 0,5
8.65:  12.67547,122.6963,179.6001,box 0,5
8.67:  12.67757,122.3947,179.6001,box 0,5
8.68:  12.67962,122.1016,179.6001,box 0,5
8.7:  12.68175,121.797,179.6001,box 0,5
8.72:  12.68385,121.4951,179.6001,box 0,5
8.73:  12.68591,121.2007,179.6001,box 0,5
8.75:  12.68801,120.8991,179.6001,box 0,5
8.77:  12.69019,120.5875,179.6001,box 0,5
8.78:  12.69223,120.2944,179.6001,box 0,5
8.8:  12.69436,119.9901,179.6001,box 0,5
8.82:  12.69642,119.6944,179.6001,box 0,5
8.83:  12.69849,119.3985,179.6001,box 0,5
8.85:  12.70063,119.0916,179.6001,box 0,5
8.87:  12.70319,118.7983,179.5001,box 0,5
8.88:  12.70708,118.4801,179.3001,box 0,5
8.9:  12.71055,118.1958,179.3001,box 0,5
8.92:  12.71593,117.8875,179.0001,box 0,5
8.93:  12.72179,117.5826,178.9001,box 0,5
8.95:  12.72749,117.2855,178.9001,box 0,5
8.97:  12.73306,116.9958,178.9001,box 0,5
8.98:  12.74012,116.6843,178.7001,box 0,5
9:  12.74718,116.3953,178.6001,box 0,5
9.02:  12.75467,116.089,178.6001,box 0,5
9.03:  12.76177,115.7982,178.6001,box 0,5
9.05:  12.77035,115.4913,178.4001,box 0,5
9.07:  12.77856,115.1974,178.4001,box 0,5
9.08:  12.787,114.8951,178.4001,box 0,5
9.1:  12.79644,114.5948,178.2001,box 0,5
9.12:  12.80705,114.2907,178.0001,box 0,5
9.13:  12.81903,113.9927,177.7001,box 0,5
9.15:  12.83354,113.6849,177.3001,box 0,5
9.17:  12.85019,113.3872,176.8001,box 0,5
9.18:  12.86887,113.0982,176.3001,box 0,5
9.2:  12.89071,112.8008,175.8001,box 0,5
9.22:  12.91656,112.4993,175.1001,box 0,5
9.23:  12.94656,112.2039,174.2001,box 0,5
